,baseline,advanced
1,2,2
2,1,1
3,0,2
4,1,1
5,2,2
6,2,0
7,2,2
8,1,2
9,0,0
10,1,1
11,0,0
12,0,1
13,2,0
14,0,0
15,2,2
16,1,2
17,2,2
18,1,2
19,0,0
20,2,2
21,2,1
22,1,2
23,2,2
24,1,2
25,0,0
26,2,2
27,0,0
28,2,2
29,1,1
30,0,0
31,1,1
32,0,2
33,0,0
34,1,1
35,0,1
36,2,1
37,2,2
38,0,0
39,0,1
40,2,2
41,1,0
42,0,0
43,0,2
44,2,2
45,1,1
46,1,0
47,0,0
48,1,1
49,0,1
50,0,0
51,2,2
52,0,1
53,2,1
54,0,0
55,0,0
56,1,1
57,0,1
58,2,0
59,0,1
60,1,1
61,2,2
62,0,1
63,2,0
64,0,2
65,0,2
66,1,0
67,1,2
68,0,0
69,1,0
70,2,1
71,2,2
72,2,2
73,0,0
74,0,0
75,1,1
76,0,0
77,0,2
78,0,0
79,2,2
80,0,0
81,2,2
82,1,2
83,0,0
84,0,1
85,1,2
86,2,2
87,1,1
88,0,0
89,2,1
90,1,1
91,1,2
92,1,1
93,1,1
94,0,2
95,2,2
96,2,2
97,0,0
98,2,2
99,0,2
100,1,0
101,1,0
102,2,1
103,1,1
104,0,0
105,0,2
106,1,2
107,0,2
108,2,2
109,0,0
110,0,1
111,0,0
112,2,2
113,1,1
114,1,1
115,0,0
116,0,0
117,0,2
118,1,0
119,2,1
120,0,0
121,2,2
122,0,0
123,0,1
124,2,2
125,1,1
126,2,2
127,0,0
128,0,2
129,1,2
130,2,1
131,0,0
132,0,0
133,0,1
134,1,2
135,0,0
136,1,2
137,2,2
138,0,0
139,1,2
140,2,1
141,0,0
142,0,2
143,1,2
144,2,2
145,2,2
146,0,0
147,1,0
148,0,0
149,2,1
150,2,2
151,1,0
152,0,1
153,1,1
154,0,0
155,1,1
156,0,0
157,0,0
158,0,2
159,1,2
160,2,1
161,0,1
162,2,2
163,2,1
164,2,2
165,0,0
166,1,1
167,1,1
168,0,0
169,1,0
170,0,0
171,0,0
172,0,0
173,2,2
174,0,0
175,1,1
176,1,2
177,1,1
178,2,0
179,2,1
180,0,0
181,1,1
182,0,0
183,1,1
184,2,2
185,1,1
186,0,0
187,2,2
188,0,0
189,2,1
190,2,1
191,2,2
192,0,0
193,2,2
194,0,0
195,1,2
196,0,1
197,0,0
198,0,2
199,0,0
200,1,0
201,0,0
202,1,0
203,1,0
204,1,0
205,0,1
206,0,2
207,2,2
208,1,1
209,2,0
210,2,1
211,0,1
212,1,2
213,2,0
214,0,0
215,0,0
216,0,0
217,0,1
218,1,1
219,2,2
220,0,1
221,1,1
222,0,0
223,2,1
224,0,1
225,0,1
226,2,2
227,2,2
228,0,0
229,2,0
230,0,1
231,2,0
232,0,1
233,1,1
234,2,2
235,1,1
236,1,1
237,0,0
238,1,1
239,1,2
240,0,0
241,2,2
242,1,0
243,0,2
244,2,2
245,1,2
246,0,0
247,1,1
248,1,2
249,1,0
250,1,1
251,1,2
252,0,0
253,1,0
254,1,1
255,0,0
256,0,1
257,1,1
258,0,2
259,1,0
260,0,1
261,0,0
262,1,0
263,2,0
264,0,2
265,0,0
266,0,1
267,0,2
268,0,1
269,1,2
270,2,1
271,0,1
272,0,1
273,2,2
274,0,0
275,0,1
276,0,0
277,0,0
278,0,0
279,0,0
280,1,1
281,0,0
282,2,2
283,0,2
284,0,0
285,1,2
286,1,2
287,2,1
288,1,1
289,2,2
290,0,0
291,1,1
292,2,1
293,2,1
294,0,0
295,2,1
296,1,2
297,1,2
298,1,2
299,2,2
300,0,0
301,2,2
302,1,1
303,2,1
304,2,2
305,0,1
306,0,0
307,2,1
308,1,1
309,1,2
310,1,2
311,0,0
312,0,0
313,1,1
314,0,0
315,2,1
316,0,0
317,0,0
318,0,0
319,2,2
320,2,2
321,2,2
322,0,0
323,0,0
324,0,0
325,1,2
326,0,1
327,1,1
328,2,1
329,2,2
330,1,1
331,2,2
332,1,1
333,1,1
334,2,2
335,2,2
336,1,1
337,0,1
338,0,1
339,2,1
340,0,0
341,0,1
342,0,0
343,0,0
344,2,1
345,0,0
346,1,2
347,0,0
348,1,1
349,2,1
350,1,0
351,2,1
352,0,2
353,0,0
354,2,1
355,2,2
356,0,2
357,1,0
358,2,1
359,0,2
360,0,0
361,0,1
362,0,0
363,1,1
364,2,2
365,0,0
366,0,0
367,2,2
368,0,0
369,0,0
370,2,1
371,2,2
372,2,1
373,1,2
374,0,0
375,0,0
376,0,1
377,1,2
378,2,2
379,2,2
380,0,2
381,1,2
382,0,0
383,0,0
384,0,0
385,0,1
386,0,1
387,1,1
388,1,1
389,2,2
390,1,1
391,2,1
392,2,1
393,0,0
394,0,1
395,0,0
396,0,2
397,0,0
398,1,1
399,1,1
400,2,2
401,1,1
402,1,1
403,0,0
404,1,1
405,0,1
406,1,2
407,2,2
408,0,2
409,0,0
410,0,0
411,2,2
412,1,0
413,1,1
414,2,2
415,0,0
416,0,0
417,0,0
418,0,0
419,2,2
420,2,1
421,0,2
422,1,2
423,1,1
424,2,1
425,0,1
426,0,0
427,0,0
428,2,1
429,2,1
430,2,2
431,0,1
432,0,0
433,0,0
434,1,1
435,0,0
436,1,1
437,1,1
438,0,2
439,0,0
440,0,1
441,1,2
442,2,2
443,1,1
444,0,2
445,1,2
446,1,1
447,1,1
448,1,1
449,1,2
450,0,0
451,1,1
452,2,2
453,0,1
454,0,0
455,2,1
456,1,0
457,0,0
458,1,2
459,1,2
460,1,2
461,0,0
462,2,2
463,0,1
464,1,1
465,0,0
466,0,1
467,0,1
468,1,2
469,0,0
470,1,1
471,1,2
472,0,2
473,1,1
474,2,2
475,2,1
476,0,0
477,1,1
478,1,2
479,2,2
480,2,1
481,1,1
482,2,2
483,1,0
484,2,2
485,2,2
486,1,1
487,0,2
488,2,2
489,1,1
490,1,1
491,1,1
492,0,0
493,0,0
494,1,1
495,2,2
496,1,1
497,0,0
498,0,0
499,0,0
500,0,0
501,2,2
502,0,2
